Aktivitätstyp,Datum,Favorit,Titel,Distanz,Kalorien,Zeit,Ø Herzfrequenz,Maximale Herzfrequenz,Aerober TE,Ø Schrittfrequenz (Laufen),Max. Schrittfrequenz (Laufen),Ø Geschwindigkeit,Maximale Geschwindigkeit,Anstieg gesamt,Abstieg gesamt,Ø Schrittlänge,Durchschnittliches vertikales Verhältnis,Ø vertikale Bewegung,Ø Bodenkontaktzeit,Durchschnittliche Balance der Bodenkontaktzeit,Ø Trittfrequenz,Max. Trittfrequenz,Training Stress Score®,Ø Leistung,Max. Leistung,Grit,Flow,Züge insgesamt,Ø Swolf,Ø Schlagrate,Wiederholungen insgesamt,Sätze insgesamt,Routen insgesamt,Kletterzeit,Pausenzeit insgesamt,Tauchzeit,Minimale Temperatur,Oberflächenpause,Dekompression,Beste Rundenzeit,Anzahl der Runden,Maximale Temperatur,Zeit in Bewegung,Verstrichene Zeit,Minimale Höhe,Maximale Höhe
Bouldern,2022-11-01 19:12:42,false,"Bouldern","--","502","01:21:15","120","170","2,0","0","0","--","--","--","--","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","10","29:34","51:41","0:00","25,0","0:00","Nein","01:21:15.22.9","1","0,0","00:00:00","01:21:15","--","--"
Radfahren,2022-11-01 18:50:54,false,"Würzburg Radfahren","2,64","60","00:09:44,3","107","136","0,3","0","0","16,3","44,8","75","14","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","18,0","0:00","Nein","09:44.32","1","0,0","00:09:28","00:09:45,2","181","219"
Gravel/Offroad-Radfahren,2022-10-31 16:58:19,false,"Würzburg Gravel/Offroad-Radfahren","15,47","544","01:00:02","141","174","3,1","0","0","15,5","52,2","342","332","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","19,0","0:00","Nein","01:06.41.8","4","0,0","00:59:23","01:01:55","189","322"
Krafttraining,2022-10-28 17:14:20,false,"Krafttraining B","0,00","437","01:02:22","124","163","2,1","0","0","--","--","--","--","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","248","22","--","--","--","0:00","27,0","0:00","Nein","01:02:22.10.8","1","0,0","00:33:48","01:02:22","--","--"
Laufen,2022-10-28 11:25:53,false,"Würzburg Laufen","4,02","313","00:22:32","172","188","3,5","157","168","5:36","4:48","40","184","1,13","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","22,0","0:00","Nein","22:32.09.8","1","0,0","00:22:22","00:24:05","33","50"
Radfahren,2022-10-27 02:21:11,false,"Würzburg Radfahren","6,20","188","00:22:37","124","148","1,9","0","0","16,5","32,3","47","26","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","15,0","0:00","Nein","04:02.55.4","2","0,0","00:19:50","00:22:37","182","208"
Radfahren,2022-10-26 19:22:01,false,"Würzburg Radfahren","2,99","68","00:10:14","112","127","0,5","0","0","17,6","30,8","42","5","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","18,0","0:00","Nein","00:00.54.6","3","0,0","00:09:08","00:15:22","178","190"
Kajakfahren,2022-10-26 17:28:16,false,"Würzburg Polo","1,94","323","01:08:22","108","149","0,8","0","0","1,7","8,6","30","61","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","22,0","0:00","Nein","01:08:22.20.8","1","0,0","00:21:51","01:08:22","144","177"
Radfahren,2022-10-26 17:02:32,false,"Würzburg Radfahren","2,15","87","00:08:41,5","132","146","1,3","0","0","14,9","22,5","59","13","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","21,0","0:00","Nein","08:41.49.5","1","0,0","00:07:50","00:08:41,5","204","215"
Radfahren,2022-10-24 20:27:06,false,"Würzburg Radfahren","4,49","148","00:22:00","114","135","0,8","0","0","12,3","21,5","46","15","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","20,0","0:00","Nein","22:00.24.1","1","0,0","00:19:51","00:22:00","177","211"
Kajakfahren,2022-10-24 18:09:12,false,"Würzburg Polo","2,07","351","00:42:25","132","169","2,4","0","0","2,9","28,0","59","68","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","19,0","0:00","Nein","42:24.95.8","1","0,0","00:23:00","00:42:25","142","175"
Radfahren,2022-10-24 17:31:24,false,"Würzburg Radfahren","4,95","134","00:18:57","114","152","0,9","0","0","15,7","57,6","29","96","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","21,0","0:00","Nein","18:57.46.5","1","0,0","00:15:28","00:18:57","166","192"
Gravel/Offroad-Radfahren,2022-10-22 17:36:23,false,"Würzburg Gravel/Offroad-Radfahren","15,53","561","00:58:57","145","180","3,3","0","0","15,8","49,5","332","326","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","23,0","0:00","Nein","01:11.03.6","4","0,0","00:58:52","00:59:57","146","277"
Krafttraining,2022-10-21 17:48:03,false,"Krafttraining A","0,00","352","00:56:56","119","170","2,0","0","0","--","--","--","--","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","203","22","--","--","--","0:00","27,0","0:00","Nein","56:55.78.1","1","0,0","00:30:41","00:56:56","--","--"
Radfahren,2022-10-21 17:19:17,false,"Würzburg Radfahren","5,05","172","00:17:43","132","147","2,0","0","0","17,1","38,7","28","96","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","20,0","0:00","Nein","00:18.79.4","2","0,0","00:15:38","00:17:43","142","202"
Radfahren,2022-10-19 20:19:20,false,"Würzburg Radfahren","4,52","113","00:17:37","111","128","0,6","0","0","15,4","28,7","42","12","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","15,0","0:00","Nein","17:37.14.9","1","0,0","00:15:08","00:17:37","177","201"
Kajakfahren,2022-10-19 17:52:29,false,"Würzburg Polo","2,40","493","01:14:28","124","171","2,5","0","0","1,9","10,5","42","43","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","19,0","0:00","Nein","01:14:27.85.6","1","0,0","00:24:14","01:14:28","146","173"
Radfahren,2022-10-19 17:18:58,false,"Würzburg Radfahren","4,98","86","00:16:04","103","124","0,4","0","0","18,6","40,8","35","34","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","18,0","0:00","Nein","16:04.26.8","1","0,0","00:14:04","00:16:04","185","201"
Radfahren,2022-10-17 22:16:24,false,"Würzburg Radfahren","4,78","231","00:45:17","104","151","0,8","0","0","6,3","24,3","45","24","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","19,0","0:00","Nein","45:17.34.5","1","0,0","00:20:40","00:45:19","178","205"
Kajakfahren,2022-10-17 17:51:46,false,"Würzburg Polo","2,42","365","01:05:36","114","172","2,3","0","0","2,2","15,1","50","83","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","17,0","0:00","Nein","01:05:36.04.1","1","0,0","00:25:57","01:05:36","133","173"
Radfahren,2022-10-17 17:12:03,false,"Würzburg Radfahren","4,77","117","00:18:19","110","132","0,7","0","0","15,6","37,1","19","32","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","24,0","0:00","Nein","18:19.22.2","1","0,0","00:16:39","00:18:19","179","197"
Radfahren,2022-10-15 15:57:55,false,"Würzburg Radfahren","2,75","55","00:09:09,8","106","125","0,3","0","0","18,0","50,2","42","37","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","23,0","0:00","Nein","09:09.80.9","1","0,0","00:08:37","00:09:09,8","190","221"
Bouldern,2022-10-15 13:37:29,false,"Bouldern","--","530","01:56:00","109","177","2,0","0","0","--","--","--","--","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","12","10:29","1:45:31","0:00","29,0","0:00","Nein","01:55:59.92.2","1","0,0","00:00:00","01:56:00","--","--"
Radfahren,2022-10-15 12:49:49,false,"Würzburg Radfahren","2,69","116","00:09:39,7","150","180","2,3","0","0","16,7","32,1","44","68","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","24,0","0:00","Nein","09:39.68.7","1","0,0","00:08:52","00:09:39,7","187","225"
Radfahren,2022-10-14 18:25:38,false,"Würzburg Radfahren","4,44","182","00:18:30","133","165","2,1","0","0","14,4","28,5","44","36","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","24,0","0:00","Nein","18:30.18.9","1","0,0","00:15:29","00:18:30","176","194"
Krafttraining,2022-10-14 16:20:53,false,"Krafttrai​ning","0,00","625","01:57:39","112","143","1,2","0","0","--","--","--","--","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","26","5","--","--","--","0:00","27,0","0:00","Nein","01:57:38.50.4","1","0,0","00:49:34","01:57:39","--","--"
Radfahren,2022-10-14 15:47:01,false,"Würzburg Radfahren","4,97","156","00:18:00","127","150","1,6","0","0","16,6","38,1","25","176","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","22,0","0:00","Nein","17:59.92","1","0,0","00:15:30","00:18:00","177","201"
Radfahren,2022-10-12 20:39:57,false,"Würzburg Radfahren","4,74","168","00:26:16","111","137","0,8","0","0","10,8","23,1","42","15","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","18,0","0:00","Nein","26:15.82.2","1","0,0","00:21:06","00:26:16","178","205"
Kajakfahren,2022-10-12 18:05:11,false,"Würzburg Polo","1,72","400","01:02:56","118","176","2,2","0","0","1,6","8,7","65","66","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","19,0","0:00","Nein","01:02:56.03.4","1","0,0","00:20:03","01:02:56","148","177"
Radfahren,2022-10-12 17:16:57,false,"Würzburg Radfahren","5,01","112","00:18:38","109","122","0,4","0","0","16,1","31,3","24","33","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","20,0","0:00","Nein","00:10.03.6","2","0,0","00:16:38","00:18:38","180","201"
Laufen,2022-10-11 20:12:02,false,"Würzburg Laufen","4,08","324","00:24:54","162","184","3,1","154","168","6:06","4:47","43","42","1,06","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","20,0","0:00","Nein","24:53.71.8","1","0,0","00:24:47","00:27:19","166","200"
Radfahren,2022-10-10 21:00:28,false,"Würzburg Radfahren","5,00","140","00:23:06","109","125","0,6","0","0","13,0","27,9","71","18","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","18,0","0:00","Nein","00:02.83.9","2","0,0","00:20:21","00:23:06","176","232"
Kajakfahren,2022-10-10 17:59:01,false,"Würzburg Polo","2,76","602","01:11:09","133","180","3,0","0","0","2,3","83,6","51","44","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","18,0","0:00","Nein","01:11:09.46","1","0,0","00:25:16","01:11:09","149","178"
Radfahren,2022-10-10 17:20:17,false,"Würzburg Radfahren","4,95","119","00:14:14","122","144","0,9","0","0","20,9","38,0","21","70","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","21,0","0:00","Nein","14:14.20.3","1","0,0","00:13:35","00:14:14","179","201"
Radfahren,2022-10-09 14:14:42,false,"Kitzingen Radfahren","2,89","77","00:12:36","108","121","0,4","0","0","13,8","21,2","28","10","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","22,0","0:00","Nein","12:36.14.5","1","0,0","00:12:20","00:12:36","181","201"
Radfahren,2022-10-09 11:41:56,false,"Kitzingen Radfahren","7,17","277","00:30:30","131","148","2,0","0","0","14,1","29,2","50","47","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","16,0","0:00","Nein","10:34.98.7","2","0,0","00:28:42","00:44:36","174","219"
Laufen,2022-10-08 20:25:53,false,"Würzburg Laufen","4,84","372","00:29:43","154","171","3,1","155","165","6:08","4:42","49","49","1,04","9,9","10,4","287","49,8 % Links / 50,2 % Rechts","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","18,0","0:00","Nein","29:43.47.5","1","0,0","00:29:32","00:33:11","167","205"
Radfahren,2022-10-08 16:35:54,false,"Würzburg Radfahren","3,43","118","00:19:09","110","139","0,5","0","0","10,7","26,9","36","34","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","21,0","0:00","Nein","19:09.22.9","1","0,0","00:14:31","00:19:09","173","199"
Radfahren,2022-10-08 08:07:48,false,"Würzburg Radfahren","3,66","121","00:10:55","141","172","2,1","0","0","20,1","47,0","20","130","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","17,0","0:00","Nein","10:54.95.3","1","0,0","00:09:23","00:10:55","188","203"
Radfahren,2022-10-06 20:13:21,false,"Würzburg Radfahren","4,11","113","00:17:16","112","128","0,5","0","0","14,3","32,6","214","13","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","16,0","0:00","Nein","17:16.11.9","1","0,0","00:15:33","00:17:16","219","240"
Kajakfahren,2022-10-06 18:35:22,false,"Würzburg Spiel","3,22","372","01:05:20","114","166","1,6","0","0","3,0","23,7","46","184","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","16,0","0:00","Nein","01:05:20.24.7","1","0,0","00:41:33","01:05:20","35","173"
Radfahren,2022-10-06 18:05:30,false,"Würzburg Cycling","5,01","83","00:15:49","110","151","0,3","0","0","19,0","36,3","34","35","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","19,0","0:00","Nein","00:02.44.1","2","0,0","00:14:17","00:15:49","186","201"
Radfahren,2022-10-05 22:26:39,false,"Würzburg Cycling","4,73","136","00:23:10","106","138","0,6","0","0","12,3","24,3","48","18","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","21,0","0:00","Nein","23:10.31.4","1","0,0","00:20:24","00:23:10","178","208"
Kajakfahren,2022-10-05 17:56:33,false,"Würzburg Polo","3,05","466","01:21:04","112","167","2,0","0","0","2,3","10,1","107","132","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","16,0","0:00","Nein","01:21:03.97.7","1","0,0","00:29:57","01:21:04","130","172"
Radfahren,2022-10-05 17:17:54,false,"Würzburg Cycling","4,97","166","00:16:01","136","159","2,0","0","0","18,6","38,7","27","115","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","24,0","0:00","Nein","16:00.59.9","1","0,0","00:14:42","00:16:01","177","201"
Mountainbiken,2022-10-04 18:03:00,false,"Würzburg Mountain Biking","15,46","514","01:08:58","130","172","2,5","0","0","13,4","53,1","277","240","0,00","0,0","0,0","0","--","0","0","0,0","0","0","24,8","2,3","--","0","0","0","--","--","--","--","0:00","22,0","0:00","Nein","01:08:57.59.2","1","0,0","01:08:06","01:17:46","178","320"
Kajakfahren,2022-10-03 13:15:32,false,"Steeg Ww","10,94","767","01:11:25","99","112","0,3","0","0","9,2","19,4","38","162","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","14,0","0:00","Nein","01:11:25.40.2","1","0,0","00:51:21","01:11:25","1.027","1.134"
Kajakfahren,2022-10-02 14:31:03,false,"Oetz Ww","12,83","1.075","01:54:07","0","0","1,4","0","0","6,7","19,3","169","265","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","15,0","0:00","Nein","01:54:06.99.2","1","0,0","01:22:41","01:54:07","669","786"
Kajakfahren,2022-10-02 10:56:45,false,"Arzl im Pitztal Ww","14,08","1.175","02:09:17","0","0","1,7","0","0","6,5","76,2","66","196","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","14,0","0:00","Nein","02:09:16.72.7","1","0,0","01:26:13","02:09:17","651","723"
Kajakfahren,2022-10-01 16:28:40,false,"Oetz Ww","12,71","1.023","01:39:05","0","0","0,1","0","0","7,7","15,9","170","249","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","13,0","0:00","Nein","01:39:05.29.1","1","0,0","01:30:01","01:39:05","661","785"
Kajakfahren,2022-10-01 11:54:53,false,"Arzl im Pitztal Ww","14,54","1.090","02:50:11","0","0","0,1","0","0","5,1","17,6","169","204","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","13,0","0:00","Nein","02:50:11.40.9","1","0,0","01:49:23","02:50:11","634","723"
Radfahren,2022-09-29 17:07:09,false,"Würzburg Cycling","4,80","74","00:14:11","101","122","0,2","0","0","20,3","43,6","36","74","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","17,0","0:00","Nein","14:10.63.8","1","0,0","00:14:04","00:14:11","188","248"
Radfahren,2022-09-29 06:32:30,false,"Würzburg Cycling","4,36","173","00:18:25","129","155","1,9","0","0","14,2","26,2","119","15","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","18,0","0:00","Nein","18:24.58.8","1","0,0","00:18:14","00:18:25","187","263"
Radfahren,2022-09-28 21:09:03,false,"Würzburg Cycling","4,67","134","00:33:15","93","123","0,3","0","0","8,4","25,2","102","18","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","15,0","0:00","Nein","33:15.39.6","1","0,0","00:19:03","00:33:16","178","238"
Kajakfahren,2022-09-28 17:58:39,false,"Würzburg Polo","1,37","525","01:30:43","116","165","1,4","0","0","0,9","109,0","2","30","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","9,0","0:00","Nein","01:30:43.01.9","1","0,0","00:12:28","01:30:43","149","173"
Radfahren,2022-09-28 17:22:45,false,"Würzburg Cycling","4,74","121","00:17:28","114","134","0,5","0","0","16,3","37,8","37","35","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","18,0","0:00","Nein","17:27.93.2","1","0,0","00:15:26","00:17:28","184","198"
Radfahren,2022-09-28 16:08:25,false,"Würzburg Cycling","4,87","96","00:15:48","107","127","0,4","0","0","18,5","36,3","40","75","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","20,0","0:00","Nein","15:48.20.8","1","0,0","00:14:20","00:15:48","188","247"
Radfahren,2022-09-28 06:25:07,false,"Würzburg Cycling","4,25","152","00:17:48","123","152","1,4","0","0","14,3","26,0","71","50","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","18,0","0:00","Nein","17:48.32.6","1","0,0","00:17:25","00:17:48","189","258"
Radfahren,2022-09-27 17:15:16,false,"Würzburg Cycling","4,83","80","00:14:57","102","122","0,3","0","0","19,4","43,2","23","130","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","18,0","0:00","Nein","14:56.96.8","1","0,0","00:14:51","00:14:57","195","248"
Radfahren,2022-09-27 06:28:47,false,"Würzburg Cycling","4,77","178","00:20:35","125","145","1,4","0","0","13,9","76,4","73","24","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","19,0","0:00","Nein","20:35.28.1","1","0,0","00:17:26","00:20:35","269","329"
Radfahren,2022-09-26 17:08:28,false,"Würzburg Cycling","4,78","111","00:14:42","116","137","0,7","0","0","19,5","38,6","28","77","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","20,0","0:00","Nein","14:42.18.4","1","0,0","00:14:12","00:14:42","188","248"
Radfahren,2022-09-26 06:27:51,false,"Würzburg Cycling","4,38","169","00:21:49","120","135","0,9","0","0","12,0","39,6","84","91","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","16,0","0:00","Nein","21:48.95.8","1","0,0","00:17:51","00:21:49","190","257"
Radfahren,2022-09-19 16:37:59,false,"Würzburg Cycling","4,79","102","00:15:08","112","130","0,5","0","0","19,0","38,6","65","76","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","19,0","0:00","Nein","15:07.71.8","1","0,0","00:14:30","00:15:08","191","250"
Radfahren,2022-09-19 06:23:10,false,"Würzburg Cycling","4,30","160","00:19:45","122","141","1,1","0","0","13,1","40,1","86","27","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","18,0","0:00","Nein","19:44.72.3","1","0,0","00:17:09","00:22:01","174","244"
Kajakfahren,2022-09-18 14:06:46,false,"Marburg Polo","0,01","440","00:43:18","151","189","3,1","0","0","0,0","2,7","--","--","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","12,0","0:00","Nein","43:18.14.4","1","0,0","00:00:00","00:43:18","204","224"
Kajakfahren,2022-09-18 10:55:56,false,"Marburg Polo","0,08","623","01:38:50","130","187","3,1","0","0","0,1","42,8","5","2","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","15,0","0:00","Nein","01:38:49.62.4","1","0,0","00:00:57","01:45:05","222","228"
Kajakfahren,2022-09-17 17:20:23,false,"Marburg Polo","0,03","463","00:46:20","147","180","3,0","0","0","0,0","204,3","--","7","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","13,0","0:00","Nein","46:19.50.9","1","0,0","00:00:15","00:46:20","199","223"
Kajakfahren,2022-09-17 15:03:20,false,"Marburg Polo","0,03","478","00:49:25","142","184","2,8","0","0","0,0","13,9","2","--","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","17,0","0:00","Nein","49:24.68.5","1","0,0","00:00:04","00:49:25","222","236"
Kajakfahren,2022-09-17 12:51:36,false,"Marburg Polo","0,02","505","00:44:23","158","196","3,5","0","0","0,0","40,3","--","24","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","13,0","0:00","Nein","44:22.82.5","1","0,0","00:00:10","00:44:23","206","227"
Kajakfahren,2022-09-17 11:19:13,false,"Marburg Polo","0,04","396","00:32:56","161","189","3,3","0","0","0,1","47,4","--","--","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","13,0","0:00","Nein","32:56.23.5","1","0,0","00:00:02","00:32:56","217","222"
Kajakfahren,2022-09-17 09:51:00,false,"Marburg Polo","0,10","456","00:51:40","140","182","3,0","0","0","0,1","9,6","58","--","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","13,0","0:00","Nein","51:39.60.5","1","0,0","00:00:30","00:51:40","225","234"
Radfahren,2022-09-16 13:09:24,false,"Würzburg Cycling","4,78","93","00:15:22","107","127","0,4","0","0","18,7","37,0","53","88","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","22,0","0:00","Nein","15:22.05.2","1","0,0","00:14:02","00:15:22","187","248"
Radfahren,2022-09-16 06:23:03,false,"Würzburg Cycling","4,39","165","00:19:01","124","151","1,5","0","0","13,8","40,1","88","20","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","21,0","0:00","Nein","19:01.28.6","1","0,0","00:16:08","00:19:02","181","249"
Radfahren,2022-09-15 16:05:55,false,"Würzburg Cycling","4,78","85","00:14:19","107","125","0,3","0","0","20,0","37,1","31","80","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","22,0","0:00","Nein","14:18.76.8","1","0,0","00:13:43","00:14:19","190","251"
Radfahren,2022-09-15 06:23:50,false,"Würzburg Cycling","4,30","161","00:17:22","128","149","1,8","0","0","14,9","25,7","58","76","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","22,0","0:00","Nein","17:22.36.4","1","0,0","00:17:07","00:17:22","188","242"
Radfahren,2022-09-14 20:54:00,false,"Würzburg Cycling","4,41","86","00:19:54","85","199","0,7","0","0","13,3","24,2","91","12","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","23,0","0:00","Nein","19:54.31.2","1","0,0","00:17:08","00:19:54","178","197"
Kajakfahren,2022-09-14 18:24:48,false,"Würzburg Polo","3,29","326","01:34:15","93","153","0,4","0","0","2,1","56,0","121","174","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","21,0","0:00","Nein","01:34:15.38.2","1","0,0","00:31:11","01:34:15","113","173"
Radfahren,2022-09-14 17:21:47,false,"Würzburg Cycling","8,51","187","00:32:41","107","135","0,7","0","0","15,6","37,6","76","144","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","23,0","0:00","Nein","13:26.12.2","2","0,0","00:29:00","00:32:41","178","285"
Radfahren,2022-09-14 06:28:42,false,"Würzburg Cycling","4,28","148","00:17:32","122","146","1,3","0","0","14,6","39,3","68","92","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","21,0","0:00","Nein","17:32.48.7","1","0,0","00:16:42","00:17:32","188","252"
Radfahren,2022-09-13 17:19:40,false,"Würzburg Cycling","4,78","70","00:13:25","100","124","0,2","0","0","21,3","44,6","40","80","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","26,0","0:00","Nein","13:25.37.5","1","0,0","00:12:50","00:13:25","186","248"
