Aktivitätstyp,Datum,Favorit,Titel,Distanz,Kalorien,Zeit,Ø Herzfrequenz,Maximale Herzfrequenz,Aerober TE,Ø Schrittfrequenz (Laufen),Max. Schrittfrequenz (Laufen),Ø Geschwindigkeit,Maximale Geschwindigkeit,Anstieg gesamt,Abstieg gesamt,Ø Schrittlänge,Durchschnittliches vertikales Verhältnis,Ø vertikale Bewegung,Ø Bodenkontaktzeit,Durchschnittliche Balance der Bodenkontaktzeit,Ø Trittfrequenz,Max. Trittfrequenz,Training Stress Score®,Ø Leistung,Max. Leistung,Grit,Flow,Züge insgesamt,Ø Swolf,Ø Schlagrate,Wiederholungen insgesamt,Sätze insgesamt,Routen insgesamt,Kletterzeit,Pausenzeit insgesamt,Tauchzeit,Minimale Temperatur,Oberflächenpause,Dekompression,Beste Rundenzeit,Anzahl der Runden,Maximale Temperatur,Zeit in Bewegung,Verstrichene Zeit,Minimale Höhe,Maximale Höhe
Radfahren,2022-12-14 07:47:05,false,"Würzburg Radfahren","5,01","183","00:19:19","132","171","2,3","0","0","15,6","37,4","23","30","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","19,0","0:00","Nein","00:29.93.8","2","0,0","00:16:24","00:23:52","184","199"
Radfahren,2022-12-09 19:14:01,false,"Würzburg Radfahren","4,70","395","01:09:47","113","143","1,3","0","0","4,0","41,5","58","158","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","17,0","0:00","Nein","00:01.32.2","2","0,0","00:37:23","01:09:47","176","221"
Bouldern,2022-12-09 17:16:59,false,"Bouldern","--","462","01:31:12","107","147","0,8","0","0","--","--","--","--","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","6","9:56","1:21:15","0:00","24,0","0:00","Nein","01:31:11.65.8","1","0,0","00:00:00","01:31:12","--","--"
Radfahren,2022-12-09 16:57:50,false,"Würzburg Radfahren","2,74","57","00:10:41","100","128","0,3","0","0","15,4","28,1","74","28","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","21,0","0:00","Nein","10:40.50.8","1","0,0","00:09:51","00:10:41","187","222"
Radfahren,2022-12-07 09:46:52,false,"Würzburg Radfahren","4,83","181","00:24:32","118","155","1,4","0","0","11,8","22,5","41","19","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","22,0","0:00","Nein","24:32.18.7","1","0,0","00:20:52","00:24:32","151","177"
Krafttraining,2022-12-07 09:35:04,false,"Krafttraining A","0,00","372","01:11:30","108","141","0,7","0","0","--","--","--","--","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","264","25","--","--","--","0:00","24,0","0:00","Nein","01:11:30.07.3","1","0,0","00:33:30","01:11:30","--","--"
Radfahren,2022-12-07 07:56:30,false,"Würzburg Radfahren","5,08","190","00:18:20","137","163","2,3","0","0","16,6","32,5","23","43","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","23,0","0:00","Nein","00:26.12.5","2","0,0","00:16:22","00:18:20","152","179"
HIIT,2022-12-05 19:22:45,false,"HIIT","0,00","751","01:31:14","143","184","3,4","0","0","--","--","--","--","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","21","1","--","--","--","0:00","22,0","0:00","Nein","01:31:13.61.6","1","0,0","01:31:14","01:31:14","--","--"
Gravel/Offroad-Radfahren,2022-12-04 15:20:06,false,"Würzburg Gravel/Offroad-Radfahren","27,77","991","01:32:13","159","184","4,7","0","0","18,1","56,0","312","299","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","20,0","0:00","Nein","07:09.64","6","0,0","01:30:33","02:15:02","144","304"
Radfahren,2022-12-02 19:35:39,false,"Würzburg Radfahren","4,77","194","00:24:41","122","152","1,3","0","0","11,6","19,3","47","12","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","21,0","0:00","Nein","24:41.41","1","0,0","00:22:00","00:24:41","176","209"
